company_name,stock_name,filing_time,new_product,product_description
Apple Inc.,AAPL,2023-11-02T18:08:27-04:00,**Electronic Computers**,"**Apple Inc. is classified under SIC code 3571, which refers to Electronic Computers.**"
Apple Inc.,AAPL,2021-10-28T18:04:28-04:00,N/A,"Annual Report for the period ending September 25, 2021."
Apple Inc.,AAPL,2020-10-29T18:06:25-04:00,iPhone 12 (Hypothetical),"Apple's latest flagship smartphone, featuring advanced processing power and camera capabilities."
Apple Inc.,AAPL,2019-10-30T18:12:36-04:00,Graphic,"chart-06f17b4ddd9352dc8dc.jpg (GRAPHIC, 79662)"
Apple Inc.,AAPL,2018-11-05T08:01:40-05:00,Electronic Computers,"Apple Inc. is categorized under SIC code 3571, which is electronic computers."
Apple Inc.,AAPL,2017-11-03T08:01:37-04:00,GRAPHIC,"Likely product advertisement materials, unable to determine specific product."
NVIDIA CORP,NVDA,2025-02-26T16:48:33-05:00,Undetermined (Likely related to semiconductors),Information unavailable. Potentially a new semiconductor or related device.
NVIDIA CORP,NVDA,2023-02-24T17:23:43-05:00,N/A,N/A
NVIDIA CORP,NVDA,2021-02-26T17:03:14-05:00,N/A,N/A
NVIDIA CORP,NVDA,2020-02-20T16:38:18-05:00,Semiconductors & Related Devices,"Development, manufacturing, and marketing of high-performance graphics processing units (GPUs) and related software and services."
NVIDIA CORP,NVDA,2019-02-21T16:37:18-05:00,Amended and Restated 2007 Equity Incentive Plan,Amendments and restatements to NVIDIA's equity incentive plan.
NVIDIA CORP,NVDA,2018-02-28T16:31:19-05:00,Amended and Restated 2012 Employee Stock Purchase Plan,Amended version of the company's existing employee stock purchase plan.
NVIDIA CORP,NVDA,2017-03-01T17:30:49-05:00,NVIDIA Semiconductors & Related Devices,Annual report on semiconductors and related devices.
MICROSOFT CORP,MSFT,2024-07-30T16:06:22-04:00,Azure AI Studio,"A comprehensive platform for building, deploying, and managing AI solutions, integrating various AI services and tools."
MICROSOFT CORP,MSFT,2022-07-28T16:06:19-04:00,Prepackaged Software,"Microsoft, as indicated by SIC code 7372, operates in the realm of prepackaged software services. This includes developing and distributing software products."
